"Gambia, The",GMB,Sub-Saharan Africa,4,4,4,6,6,6,6
Guinea-Bissau,GNB,Sub-Saharan Africa,6,6,6,6,6,6,6
Equatorial Guinea,GNQ,Sub-Saharan Africa,6,6,6,6,6,6,6
Greece,GRC,Europe & Central Asia,2,2,2,2,2,2,2
Grenada,GRD,Latin America & Caribbean,6,6,6,6,6,6,6
Greenland,GRL,Europe & Central Asia,,,,,,,
Guatemala,GTM,Latin America & Caribbean,9,9,9,9,9,9,9
Guam,GUM,East Asia & Pacific,,,,,,,
Guyana,GUY,Latin America & Caribbean,3,3,3,3,3,3,3
"Hong Kong SAR, China",HKG,East Asia & Pacific,7,7,8,8,8,8,8
Honduras,HND,Latin America & Caribbean,9,8,8,8,8,8,8
Croatia,HRV,Europe & Central Asia,5,5,5,5,5,5,5
Haiti,HTI,Latin America & Caribbean,2,2,2,2,2,2,2
Hungary,HUN,Europe & Central Asia,6,9,9,9,9,9,9
Indonesia,IDN,East Asia & Pacific,4,4,5,6,6,6,6
Isle of Man,IMN,Europe & Central Asia,,,,,,,
India,IND,South Asia,6,6,6,6,8,9,9
Ireland,IRL,Europe & Central Asia,7,7,7,7,7,7,7
"Iran, Islamic Rep.",IRN,Middle East & North Africa,2,2,2,2,2,2,2
Iraq,IRQ,Middle East & North Africa,0,0,0,0,0,0,0
Iceland,ISL,Europe & Central Asia,4,4,4,4,4,4,4
Israel,ISR,Middle East & North Africa,6,6,6,6,6,6,6
Italy,ITA,Europe & Central Asia,2,2,2,2,2,2,2
Jamaica,JAM,Latin America & Caribbean,6,10,9,9,9,9,9
Jordan,JOR,Middle East & North Africa,0,0,0,0,0,0,11
Japan,JPN,East Asia & Pacific,5,5,5,5,5,5,5
Kazakhstan,KAZ,Europe & Central Asia,3,3,4,4,6,6,8
Kenya,KEN,Sub-Saharan Africa,7,7,7,7,7,10,11
Kyrgyz Republic,KGZ,Europe & Central Asia,8,8,8,8,9,9,9
Cambodia,KHM,East Asia & Pacific,10,10,10,10,10,10,10
Kiribati,KIR,East Asia & Pacific,4,4,4,4,4,4,4
St. Kitts and Nevis,KNA,Latin America & Caribbean,5,5,5,5,5,5,5
"Korea, Rep.",KOR,East Asia & Pacific,5,5,5,5,5,5,5
Kuwait,KWT,Middle East & North Africa,1,1,1,1,1,1,1
Lao PDR,LAO,East Asia & Pacific,2,6,6,6,6,6,6
Lebanon,LBN,Middle East & North Africa,2,2,2,2,2,2,2
Liberia,LBR,Sub-Saharan Africa,5,5,9,9,10,10,10
Libya,LBY,Middle East & North Africa,0,0,0,0,0,0,0
St. Lucia,LCA,Latin America & Caribbean,5,5,5,5,5,5,5
Liechtenstein,LIE,Europe & Central Asia,,,,,,3,3
Sri Lanka,LKA,South Asia,2,2,2,2,2,2,2
Lesotho,LSO,Sub-Saharan Africa,5,5,5,5,5,5,5
Lithuania,LTU,Europe & Central Asia,6,6,6,6,6,6,6
Luxembourg,LUX,Europe & Central Asia,3,3,3,3,3,3,3
Latvia,LVA,Europe & Central Asia,9,9,9,9,9,9,9
"Macao SAR, China",MAC,East Asia & Pacific,,,,,,,
St. Martin (French part),MAF,Latin America & Caribbean,,,,,,,
Morocco,MAR,Middle East & North Africa,2,2,2,2,2,2,2
Monaco,MCO,Europe & Central Asia,,,,,,,
Moldova,MDA,Europe & Central Asia,8,8,8,8,8,8,8
Madagascar,MDG,Sub-Saharan Africa,1,1,2,2,2,2,2
Maldives,MDV,South Asia,2,2,2,2,2,2,2
Mexico,MEX,Latin America & Caribbean,7,8,10,10,10,10,10
Marshall Islands,MHL,East Asia & Pacific,10,10,10,10,10,10,10
North Macedonia,MKD,Europe & Central Asia,6,6,6,9,9,9,9
Mali,MLI,Sub-Saharan Africa,6,6,6,6,6,6,6
Malta,MLT,Middle East & North Africa,2,2,2,2,2,2,2
Myanmar,MMR,East Asia & Pacific,2,2,2,2,2,2,2
Montenegro,MNE,Europe & Central Asia,12,12,12,12,12,12,12
Mongolia,MNG,East Asia & Pacific,5,5,5,5,9,9,9
Northern Mariana Islands,MNP,East Asia & Pacific,,,,,,,
Mozambique,MOZ,Sub-Saharan Africa,1,1,1,1,1,1,1
Mauritania,MRT,Sub-Saharan Africa,2,2,2,2,2,2,2
Mauritius,MUS,Sub-Saharan Africa,6,6,6,6,6,6,6
Malawi,MWI,Sub-Saharan Africa,5,5,5,9,11,11,11
Malaysia,MYS,East Asia & Pacific,7,7,7,7,7,7,7
Namibia,NAM,Sub-Saharan Africa,5,5,5,5,5,5,5
New Caledonia,NCL,East Asia & Pacific,,,,,,,
Niger,NER,Sub-Saharan Africa,6,6,6,6,6,6,6
Nigeria,NGA,Sub-Saharan Africa,6,6,6,6,9,9,9
Nicaragua,NIC,Latin America & Caribbean,1,1,1,1,1,2,2
Netherlands,NLD,Europe & Central Asia,2,2,2,2,2,2,2
Norway,NOR,Europe & Central Asia,5,5,5,5,5,5,5
Nepal,NPL,South Asia,6,6,6,6,10,10,10
Nauru,NRU,East Asia & Pacific,,,,,,,
New Zealand,NZL,East Asia & Pacific,12,12,12,12,12,12,12
Oman,OMN,Middle East & North Africa,1,1,1,1,1,1,1
Pakistan,PAK,South Asia,2,2,2,2,2,2,2
Panama,PAN,Latin America & Caribbean,4,7,7,7,8,8,8
Peru,PER,Latin America & Caribbean,7,7,7,7,7,7,7
Philippines,PHL,East Asia & Pacific,1,1,1,1,1,1,1
Palau,PLW,East Asia & Pacific,10,10,10,10,10,10,10
Papua New Guinea,PNG,East Asia & Pacific,3,3,3,9,9,9,9
Poland,POL,Europe & Central Asia,7,7,7,7,7,7,7
Puerto Rico,PRI,Latin America & Caribbean,11,11,11,11,12,12,12
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,,,,,,,
Portugal,PRT,Europe & Central Asia,2,2,2,2,2,2,2
Paraguay,PRY,Latin America & Caribbean,2,1,1,1,1,1,1
West Bank and Gaza,PSE,Middle East & North Africa,0,0,0,0,8,8,8
French Polynesia,PYF,East Asia & Pacific,,,,,,,
Qatar,QAT,Middle East & North Africa,1,1,1,1,1,1,1
Romania,ROU,Europe & Central Asia,9,9,9,9,9,9,9
Russian Federation,RUS,Europe & Central Asia,4,4,7,7,9,9,9
Rwanda,RWA,Sub-Saharan Africa,9,10,10,10,10,11,11
Saudi Arabia,SAU,Middle East & North Africa,1,1,1,1,1,1,4
Sudan,SDN,Sub-Saharan Africa,3,3,3,3,3,5,3
Senegal,SEN,Sub-Saharan Africa,6,6,6,6,6,6,6
Singapore,SGP,East Asia & Pacific,8,8,8,8,8,8,8
Solomon Islands,SLB,East Asia & Pacific,10,10,10,10,10,10,10
Sierra Leone,SLE,Sub-Saharan Africa,5,5,5,5,5,5,5
El Salvador,SLV,Latin America & Caribbean,3,3,9,9,9,9,9
San Marino,SMR,Europe & Central Asia,1,1,1,1,1,1,1
Somalia,SOM,Sub-Saharan Africa,,,0,0,0,0,0
Serbia,SRB,Europe & Central Asia,6,6,6,6,6,6,6
South Sudan,SSD,Sub-Saharan Africa,2,2,2,2,2,2,2
Sao Tome and Principe,STP,Sub-Saharan Africa,0,0,0,0,0,0,0
Suriname,SUR,Latin America & Caribbean,2,2,2,2,2,2,2
Slovak Republic,SVK,Europe & Central Asia,7,7,7,7,7,7,7
Slovenia,SVN,Europe & Central Asia,3,3,3,3,3,3,3
Sweden,SWE,Europe & Central Asia,7,7,7,7,7,7,7
Eswatini,SWZ,Sub-Saharan Africa,4,4,4,4,4,4,4
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,,,,,,,
Seychelles,SYC,Sub-Saharan Africa,2,2,2,2,2,2,2
Syrian Arab Republic,SYR,Middle East & North Africa,1,1,1,1,1,1,1
Turks and Caicos Islands,TCA,Latin America & Caribbean,,,,,,,
Chad,TCD,Sub-Saharan Africa,6,6,6,6,6,6,6
Togo,TGO,Sub-Saharan Africa,6,6,6,6,6,6,6
Thailand,THA,East Asia & Pacific,3,3,3,3,7,7,7
Tajikistan,TJK,Europe & Central Asia,1,1,1,1,1,1,11
Turkmenistan,TKM,Europe & Central Asia,,,,,,,
Timor-Leste,TLS,East Asia & Pacific,0,0,0,0,0,0,0
Tonga,TON,East Asia & Pacific,10,10,10,10,10,10,10
Trinidad and Tobago,TTO,Latin America & Caribbean,6,7,7,7,7,7,7
Tunisia,TUN,Middle East & North Africa,3,3,3,3,3,3,3
Turkey,TUR,Europe & Central Asia,2,2,2,2,4,7,7
Tuvalu,TUV,East Asia & Pacific,,,,,,,
Tanzania,TZA,Sub-Saharan Africa,5,5,5,5,5,5,5
Uganda,UGA,Sub-Saharan Africa,5,5,5,5,5,5,5
Ukraine,UKR,Europe & Central Asia,8,8,8,8,8,8,8
Uruguay,URY,Latin America & Caribbean,4,4,4,4,4,4,4
United States,USA,North America,11,11,11,11,11,11,11
Uzbekistan,UZB,Europe & Central Asia,1,1,6,6,6,6,6
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,5,5,5,5,5,5,5
"Venezuela, RB",VEN,Latin America & Caribbean,1,1,1,1,1,1,1
British Virgin Islands,VGB,Latin America & Caribbean,,,,,,,
Virgin Islands (U.S.),VIR,Latin America & Caribbean,,,,,,,
Vietnam,VNM,East Asia & Pacific,7,7,7,7,8,8,8
Vanuatu,VUT,East Asia & Pacific,10,10,10,11,11,11,11
Samoa,WSM,East Asia & Pacific,5,5,5,5,9,9,9
Kosovo,XKX,Europe & Central Asia,9,9,9,9,11,11,11
"Yemen, Rep.",YEM,Middle East & North Africa,0,0,0,0,0,0,0
South Africa,ZAF,Sub-Saharan Africa,5,5,5,5,5,5,5
Zambia,ZMB,Sub-Saharan Africa,7,7,7,7,11,11,11
Zimbabwe,ZWE,Sub-Saharan Africa,5,5,5,5,5,5,6
